Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1/22/20,-0.00019501629232985437,0.0012714144725222043,0.15651508715066392,-0.0025791011534947476,-0.011528018141582835,-0.020654076498008395,0.004543126181728823,0.003229059940267578,0.004718195974190159,0.0028087795205471644
1/23/20,-0.00019501629232998504,0.0012714144725224554,0.1565150871506634,-0.0025791011534947715,-0.011528018141582533,-0.020654076498008482,0.00454312618172877,0.003229059940267704,0.00471819597419029,0.0028087795205470898
1/24/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066367,-0.0025791011534947485,-0.011528018141582667,-0.020654076498008416,0.004543126181728847,0.0032290599402675854,0.004718195974190256,0.002808779520547202
1/25/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066376,-0.002579101153494861,-0.011528018141582146,-0.02065407649800819,0.004543126181728891,0.003229059940267665,0.004718195974190289,0.0028087795205470833
1/26/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066376,-0.0025791011534948374,-0.011528018141582606,-0.020654076498008447,0.004543126181729096,0.00322905994026784,0.004718195974190167,0.0028087795205469996
1/27/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066376,-0.002579101153494837,-0.011528018141582674,-0.020654076498008385,0.004543126181728633,0.0032290599402676617,0.004718195974190187,0.0028087795205471084
1/28/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066376,-0.0025791011534948374,-0.011528018141582658,-0.020654076498008444,0.004543126181728862,0.00322905994026771,0.0047181959741903435,0.002808779520547007
1/29/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066376,-0.0025791011534948374,-0.011528018141582658,-0.020654076498008444,0.0045431261817288505,0.0032290599402677823,0.004718195974189855,0.002808779520546808
1/30/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066376,-0.0025791011534948374,-0.011528018141582658,-0.020654076498008444,0.00454312618172885,0.00322905994026765,0.004718195974190148,0.00280877952054709
1/31/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066376,-0.0025791011534948374,-0.011528018141582658,-0.020654076498008444,0.00454312618172885,0.0032290599402676496,0.0047181959741902126,0.0028087795205471795
2/1/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066376,-0.0025791011534948374,-0.011528018141582658,-0.020654076498008444,0.00454312618172885,0.003229059940267649,0.004718195974190214,0.0028087795205471036
2/2/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066376,-0.0025791011534948374,-0.011528018141582658,-0.020654076498008444,0.00454312618172885,0.003229059940267649,0.004718195974190213,0.0028087795205471093
2/3/20,-0.00019501629232998653,0.0012714144725226178,0.15651508715066376,-0.0025791011534948374,-0.011528018141582658,-0.020654076498008444,0.00454312618172885,0.003229059940267649,0.004718195974190213,0.002808779520547106
