ID,FIPS,Condado,Estado,Latitud,Longitud,Poblacion,Tasa_Final,PC1,PC2,PC3,PC4,PC5,LLE1_k8,LLE2_k8,LLE1_k15,LLE2_k15,LLE1_k30,LLE2_k30
84001001,1001.0,Autauga,Alabama,32.53952745,-86.64408227,55869,196.88915140775742,-0.5152194632218577,1.4111503269714798,-0.16720120934099122,-1.6014115754418694,-1.1394570779173556,-0.002510777153463093,0.010194834906494202,0.0012242247250817623,-0.0038818513952385584,0.00039972369410495504,-0.00025872590401732455
84001003,1003.0,Baldwin,Alabama,30.72774991,-87.72207058,223234,139.31569563776128,-7.940456192889229,0.7152565761466443,-0.1550528630132949,-0.4701446721008088,0.2461715046854641,-0.0035952023858252112,-0.00011262383172260184,0.007449994898137132,-0.0010406187228006948,-0.007961893527425202,0.0045766521576572515
84001005,1005.0,Barbour,Alabama,31.868263,-85.3871286,24686,239.00186340435874,-0.20216970145266264,-4.737300138203021,-0.07176290836552175,1.190281262914585,-1.2858883429273331,-0.0026823177998363426,0.004084213270512723,-0.003809278346271266,-0.010696511387522492,0.004519872462600047,0.009527716321348193
84001007,1007.0,Bibb,Alabama,32.99642064,-87.12511459999996,22394,285.7908368312941,6.119609958513608,-9.490243601243591,-0.008183197689796457,0.9960658697159832,0.29580369126550804,-0.0018654678471098582,0.005979754258070002,-0.01083232046365601,-0.012299131810162463,0.01318533048674057,0.011002991055412064
84001009,1009.0,Blount,Alabama,33.98210918,-86.56790593,57826,240.37630131774637,-1.4526993626430647,-6.359253774457846,-0.05621831539589327,1.4720655592182175,-0.7047453496072802,-0.0026678364796522865,0.003980941127484663,-0.0032574465131610577,-0.011226729506291463,0.0042623149364607845,0.013352471500186999
84001011,1011.0,Bullock,Alabama,32.10030533,-85.71265535,10101,415.8004158004158,32.68898774786672,-0.6418970204039733,-0.15299681571573867,-7.019760194376522,-5.779185534568498,0.013351036711039169,0.012965183283467309,-0.034812232105485806,0.015991519151162325,0.030707235246528856,-0.015979455110907946
84001013,1013.0,Butler,Alabama,31.75300095,-86.68057478,19448,365.076100370218,43.62992953767181,12.075257043217265,-0.3140198423480621,-11.953733536410725,-8.892914424277969,0.013701950336684818,0.01198584883427486,-0.04631390730829824,0.04021893166257728,0.03144551187067547,-0.0355611283236187
84001015,1015.0,Calhoun,Alabama,33.77483727,-85.82630386,113605,285.1987148452973,3.4517459332645224,-8.251372127046027,-0.029204360704524805,1.5040890910686338,-0.41569219231207566,-0.002133843808066465,0.005546582867383135,-0.008140891517817165,-0.012035517626930208,0.010274889088517763,0.012355734030029172
84001017,1017.0,Chambers,Alabama,32.91360079,-85.39072749,33254,369.88031515005713,32.96605452124936,13.421791874540602,-0.12806337168231452,9.75819271917955,1.944121177361364,0.01933220398791444,-0.0011038800184364954,-0.013758352870777816,0.01227225950318351,0.019413014224482578,-0.0356977753229154
84001019,1019.0,Cherokee,Alabama,34.17805983,-85.60638968,26196,171.7819514429684,-1.0613595127998092,1.308925992535715,-0.1757488778233057,-2.969911651171838,-0.7539491514780312,-0.002605601536978823,0.008341229851557117,0.0006863254752770896,-0.0020783275077959924,-0.0010427240950690332,-0.0017449235517709501
84001021,1021.0,Chilton,Alabama,32.85044126,-86.7173256,44428,258.8457729359863,2.655307066414814,-5.732075716765279,-0.08360316566752704,-1.2017180768486548,0.387899257292964,-0.0022030919759607323,0.005991823545873997,-0.007182867974551674,-0.006974886890535794,0.007953698848321433,0.007007058768445898
84001023,1023.0,Choctaw,Alabama,32.02227341,-88.26564429999998,12589,198.58606720152514,15.327403687155082,10.091785220642826,-0.2638994289620344,-5.238886323868787,-6.114167261304419,0.0053255895840181415,0.0007681123500622527,-0.02238993539860778,0.017984553481381706,0.008395081109570112,-0.01937537626472295
84001025,1025.0,Clarke,Alabama,31.68099859,-87.83548597,23622,258.23384980103293,5.1767488165586615,-1.9924774872964337,-0.13101869304284064,-2.0495112192132825,-1.730624058512027,-0.0013246574675781426,0.008295136337292093,-0.008197105131435489,-0.005411524193958014,0.00883381732597422,0.001877922487331701
84001027,1027.0,Clay,Alabama,33.26984193,-85.85836077,13235,430.6762372497166,20.98488540135016,-16.54844081214948,0.10943963037096938,3.6381186037948114,-1.5904915111842612,0.0013906168051822515,0.009052576748510269,-0.02338079459964613,-0.01810155062237736,0.03252332092418129,0.014381828860324455
84001029,1029.0,Cleburne,Alabama,33.67679204,-85.52005899,14910,281.69014084507046,3.3597838202916184,-6.8970934035721845,-0.04540186231841818,1.9653307242866442,-0.9078050556922306,-0.0021838023583477346,0.005422975928223127,-0.0077653662310510855,-0.012658491074297456,0.009964538246473295,0.012278729829731331
84001031,1031.0,Coffee,Alabama,31.39932826,-85.98901039,52342,231.17190783691873,-5.22947705481211,-4.069797394006512,-0.07980960162372967,2.732880073018182,-2.464499656742592,-0.00306719143354996,0.001458805606495988,0.001135448518201701,-0.011155975240734304,-0.00028464728785058746,0.01607384633113028
84001033,1033.0,Colbert,Alabama,34.69847452,-87.80168544,55241,248.00419977914953,2.06143216956396,-3.8641053212275187,-0.09318282775967082,-0.1276556471878648,-0.8457665140990125,-0.002123736249205866,0.006263182758925767,-0.005936441739771712,-0.008017977201273624,0.006625607802050794,0.0071192393623280914
84001035,1035.0,Conecuh,Alabama,31.43401703,-86.99320044,12067,248.6119167978785,10.785298218689837,1.4456563818500168,-0.1998666551960236,-7.747436941211307,-1.3247333876494314,0.0008291415477363455,0.014378170113372848,-0.018223568358443333,0.0049271436248638405,0.012560698502822033,-0.011742728544843171
84001037,1037.0,Coosa,Alabama,32.93690146,-86.24847739,10663,271.96848916815156,-0.2882560082289712,-3.0874070873171355,-0.07798639220454014,3.8784293949157664,-3.1583522127506196,-0.0026807719789026,0.0036348352662507566,-0.0033779108102974394,-0.013867827079859918,0.005557940705312859,0.014505389543279405
84001039,1039.0,Covington,Alabama,31.2477854,-86.45050893,37049,321.19625361008394,9.908443128455586,-5.8351397848349755,-0.08098453687656199,-1.9504046258018681,-2.5921050678075312,-0.0006354364574438352,0.009153082551251057,-0.009487996935973941,-0.007828667826981977,0.016382579100408867,0.0049607989482096685
84001041,1041.0,Crenshaw,Alabama,31.72941803,-86.31593104,13772,413.8832413592797,33.28689820243494,-10.528819967248793,-0.09507435246623588,-13.415644048650478,4.112623025456419,0.004132545219439922,0.005934105238926018,-0.04180934493117098,-0.0019508056419807952,0.040618309984434,-0.015447524687147326
