Variable,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,N
Latitud,-0.0975043987379558,2.9137641884481347e-08,-0.23473986715896364,1.3548048125182292e-41,3223
Longitud,0.057767365318796,0.001034374827050508,0.004101437127156358,0.8159514415821486,3223
Poblacion,-0.049242882177022364,0.005170694169799786,-0.16451699581534673,5.4372882719979804e-21,3223
