Componente,Var_Explicada,Var_Acumulada
1,0.5549181386459219,0.5549181386459219
2,0.19797144127462862,0.7528895799205505
3,0.08204752661516766,0.8349371065357182
4,0.04835953798707252,0.8832966445227907
5,0.025001039619703527,0.9082976841424942
6,0.020915405298503283,0.9292130894409976
7,0.015658771357847556,0.9448718607988451
8,0.009893554642920062,0.9547654154417652
9,0.006187342230890906,0.9609527576726561
10,0.005335333463623682,0.9662880911362798
